iter	PRAUC	Logloss
0	0.9768542323	0.5584156905
1	0.9827017812	0.4486485457
2	0.9855777394	0.3698762758
3	0.9877972731	0.3066583519
4	0.9888557415	0.2594288752
5	0.9890815209	0.2263188331
6	0.9893640761	0.201106036
7	0.9898443316	0.1798566025
8	0.9902762279	0.163264239
9	0.9903523711	0.1521402699
10	0.9908331991	0.1439593652
11	0.9912356673	0.135293352
12	0.9913728968	0.1292646441
13	0.991712964	0.1243806172
14	0.9919465316	0.1203771069
15	0.9920740705	0.1165729933
16	0.9922224792	0.112647692
17	0.9923852711	0.1091371771
18	0.9923836551	0.1073329834
19	0.9925908823	0.1051567186
20	0.992835145	0.1031157337
21	0.9929682276	0.101646919
22	0.9936183365	0.09911896502
23	0.9936520408	0.09797054785
24	0.9938617638	0.09683177638
25	0.9939241471	0.09596902308
26	0.9943607615	0.09482823138
27	0.9947818083	0.09304660846
28	0.994841404	0.09222036641
29	0.9950135138	0.09074921894
30	0.9950654093	0.0898338253
31	0.9952098211	0.08817408783
32	0.9952566175	0.08725566667
33	0.9953026307	0.08671126686
34	0.9954382838	0.08541010964
35	0.995510827	0.0846395777
36	0.9955992477	0.08369441566
37	0.9956423765	0.08322548939
38	0.9957118149	0.08183872344
39	0.9957469886	0.08103697448
40	0.995786016	0.08042491993
41	0.9957921803	0.0798758527
42	0.9958398823	0.07878085537
43	0.9959423425	0.07772196333
44	0.9959950508	0.07625005446
45	0.9959954182	0.07584331649
46	0.9960196942	0.0748587691
47	0.9960742594	0.07419652764
