iter	Passed	Remaining
0	359	287334
1	655	261519
2	981	260627
3	1321	263022
4	1663	264507
5	1969	260619
6	2300	260661
7	2607	258178
8	2940	258422
9	3278	259000
10	3618	259573
11	3981	261467
12	4354	263630
13	4663	261829
14	5039	263750
15	5394	264348
16	5720	263470
17	6098	264940
18	6460	265556
19	6734	262633
20	7082	262716
21	7429	262735
22	7761	262206
23	8061	260652
24	8494	263321
25	8876	264238
26	9208	263622
27	9612	265023
28	9918	263693
29	10224	262435
30	10571	262237
31	10938	262533
32	11283	262249
33	11640	262243
34	11963	261498
35	12332	261722
36	12671	261301
37	12993	260561
38	13360	260706
39	13738	261040
40	14110	261214
41	14445	260715
42	14799	260534
43	15145	260229
44	15507	260180
45	15830	259476
46	16144	258656
47	16476	258128
