timestamp,LOCAL_STATUS,STATUS_REASON,CPU_USAGE_PERCENT,CPU_USER_PERCENT,CPU_SYSTEM_PERCENT,CPU_IDLE_PERCENT,MEM_TOTAL_MB,MEM_FREE_MB,MEM_USED_MB,BUFFERS_MB,CACHED_MB,MEM_USAGE_PERCENT,DHCP_PROCESS_STATUS,DHCP_DATA_STATE,DHCP_V6_STATE,WAN_STATE,WAN_IPV4_ENABLE,WAN_IPV6_ENABLE,WAN_RX_RATE_KBPS,WAN_TX_RATE_KBPS,NET_LATENCY_MS,NET_LATENCY_AVG_5,NET_PING_STATUS,logged_at
2026-04-15T20:40:34,NORMAL,healthy,6,4,2,93,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,NA,NA,74.661,74,OK,2026-04-15T20:40:41.360810
2026-04-15T20:40:46,NORMAL,healthy,56,41,15,43,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,46,16,97.127,85,OK,2026-04-15T20:40:52.894281
2026-04-15T20:40:57,NORMAL,healthy,4,3,1,95,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,47,4,65.268,78,OK,2026-04-15T20:41:04.432952
2026-04-15T20:41:09,NORMAL,healthy,11,9,1,88,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,48,5,63.932,74,OK,2026-04-15T20:41:15.971021
2026-04-15T20:41:20,NORMAL,healthy,5,4,1,94,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,46,7,57.769,71,OK,2026-04-15T20:41:27.513170
2026-04-15T20:41:32,NORMAL,healthy,10,7,2,89,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,49,5,75.798,71,OK,2026-04-15T20:41:39.057837
2026-04-15T20:41:44,NORMAL,healthy,14,10,3,85,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,25,8,52.907,62,OK,2026-04-15T20:41:50.596455
2026-04-15T20:41:55,NORMAL,healthy,23,18,4,76,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,0,1,78.301,65,OK,2026-04-15T20:42:02.136729
2026-04-15T20:42:07,NORMAL,healthy,5,4,1,94,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,1,2,59.904,64,OK,2026-04-15T20:42:13.672001
2026-04-15T20:42:18,NORMAL,healthy,11,9,2,88,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,1,6,69.205,66,OK,2026-04-15T20:42:25.202773
2026-04-15T20:42:30,NORMAL,healthy,11,8,2,88,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,1,2,61.163,63,OK,2026-04-15T20:42:36.730043
2026-04-15T20:42:41,NORMAL,healthy,15,12,2,84,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,1,1,42.561,61,OK,2026-04-15T20:42:48.264823
2026-04-15T20:42:53,NORMAL,healthy,5,3,1,94,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,2,10,75.180,61,OK,2026-04-15T20:42:59.794640
2026-04-15T20:43:04,NORMAL,healthy,13,10,2,86,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,0,2,65.812,62,OK,2026-04-15T20:43:11.358310
2026-04-15T20:43:16,NORMAL,healthy,20,18,2,79,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,5,5,63.247,61,OK,2026-04-15T20:43:22.906505
2026-04-15T20:43:27,NORMAL,healthy,5,4,1,94,936,579,357,31,103,38,RUNNING,Bound,Bound,UP,1,1,0,1,60.406,61,OK,2026-04-15T20:43:34.447385
